,classifier name,imputation_strategy,scaling_strategy,accuracy,precision,recall,model_id,best_params
3,RandomForestClassifier,most_frequent,StandardScaler(),0.8931,0.8843,0.8931,3,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 150)])"
4,RandomForestClassifier,most_frequent,MinMaxScaler(),0.8875,0.8834,0.8875,4,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 3), ('min_samples_split', 2), ('n_estimators', 100)])"
5,RandomForestClassifier,most_frequent,RobustScaler(),0.8865,0.8786,0.8865,5,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 100)])"
7,RandomForestClassifier,knn,MinMaxScaler(),0.8848,0.8777,0.8848,7,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 150)])"
0,RandomForestClassifier,median,StandardScaler(),0.8832,0.8716,0.8832,0,"OrderedDict([('class_weight', 'balanced'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 150)])"
2,RandomForestClassifier,median,RobustScaler(),0.8830,0.8767,0.8830,2,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 3), ('min_samples_split', 2), ('n_estimators', 150)])"
1,RandomForestClassifier,median,MinMaxScaler(),0.8826,0.8786,0.8826,1,"OrderedDict([('class_weight', 'balanced'), ('criterion', 'entropy'), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 100)])"
8,RandomForestClassifier,knn,RobustScaler(),0.8824,0.8753,0.8824,8,"OrderedDict([('class_weight', 'balanced'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 150)])"
6,RandomForestClassifier,knn,StandardScaler(),0.8819,0.8827,0.8819,6,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 3), ('min_samples_split', 2), ('n_estimators', 100)])"
11,RandomForestClassifier,iterative,RobustScaler(),0.8794,0.8665,0.8794,11,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 150)])"
10,RandomForestClassifier,iterative,MinMaxScaler(),0.8793,0.8715,0.8793,10,"OrderedDict([('class_weight', 'balanced_subsample'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 100)])"
9,RandomForestClassifier,iterative,StandardScaler(),0.8775,0.8705,0.8775,9,"OrderedDict([('class_weight', 'balanced'), ('criterion', 'gini'), ('min_samples_leaf', 4), ('min_samples_split', 2), ('n_estimators', 131)])"
